TP_ABRANGENCIA;SG_UF;NM_UE;CD_CARGO;DS_CARGO;SQ_CANDIDATO;NM_CANDIDATO;NM_URNA_CANDIDATO;CD_SITUACAO_CANDIDATURA;DS_SITUACAO_CANDIDATURA;CD_DETALHE_SITUACAO_CAND;DS_DETALHE_SITUACAO_CAND;TP_AGREMIACAO;NR_PARTIDO;SG_PARTIDO;NM_PARTIDO;NM_COLIGACAO;CD_NACIONALIDADE;DS_NACIONALIDADE;NR_IDADE_DATA_POSSE;CD_GENERO;DS_GENERO;CD_GRAU_INSTRUCAO;DS_GRAU_INSTRUCAO;CD_ESTADO_CIVIL;DS_ESTADO_CIVIL;CD_COR_RACA;DS_COR_RACA;CD_OCUPACAO;DS_OCUPACAO;CD_SIT_TOT_TURNO;DS_SIT_TOT_TURNO;ST_REELEICAO;VR_DESPESA_CONTRATADA;QT_VOTOS_NOMINAIS;ELEITO
ESTADUAL;DF;DISTRITO FEDERAL;8;DEPUTADO DISTRITAL;70000614475;RUAN FURTADO DA SILVA SANTOS;RUAN;12;APTO;2;DEFERIDO;PARTIDO ISOLADO;15;MDB;MOVIMENTO DEMOCRÁTICO BRASILEIRO;PARTIDO ISOLADO;1;BRASILEIRA NATA;22;2;MASCULINO;7;ENSINO MÉDIO;1;SOLTEIRO(A);1;BRANCA;931;ESTUDANTE, BOLSISTA, ESTAGIÁRIO E ASSEMELHADOS;5;SUPLENTE;N;13499.550000000001;294;nao
ESTADUAL;DF;DISTRITO FEDERAL;6;DEPUTADO FEDERAL;70000622471;HAMILTON TEIXEIRA DOS SANTOS;TATU;12;APTO;2;DEFERIDO;COLIGAÇÃO;35;PMB;PARTIDO DA MULHER BRASILEIRA;RENOVAR DF 2;1;BRASILEIRA NATA;41;2;MASCULINO;4;ENSINO FUNDAMENTAL;1;SOLTEIRO(A);3;PARDA;999;OUTROS;4;NÃO ELEITO;N;32134.0;8851;nao
ESTADUAL;DF;DISTRITO FEDERAL;8;DEPUTADO DISTRITAL;70000605595;ANTONIO FELIX DE OLIVEIRA;ANTONIO DA FEIRA;12;APTO;2;DEFERIDO;PARTIDO ISOLADO;90;PROS;PARTIDO REPUBLICANO DA ORDEM SOCIAL;PARTIDO ISOLADO;1;BRASILEIRA NATA;44;2;MASCULINO;6;ENSINO MÉDIO;1;SOLTEIRO(A);3;PARDA;999;OUTROS;5;SUPLENTE;N;;312;nao
ESTADUAL;DF;DISTRITO FEDERAL;8;DEPUTADO DISTRITAL;70000614448;RAFAEL CAVALCANTI PRUDENTE;RAFAEL PRUDENTE;12;APTO;2;DEFERIDO;PARTIDO ISOLADO;15;MDB;MOVIMENTO DEMOCRÁTICO BRASILEIRO;PARTIDO ISOLADO;1;BRASILEIRA NATA;35;2;MASCULINO;8;SUPERIOR COMPLETO;3;CASADO(A);1;BRANCA;125;ADMINISTRADOR;2;ELEITO POR QP;S;713497.32;26373;sim
ESTADUAL;DF;DISTRITO FEDERAL;8;DEPUTADO DISTRITAL;70000611671;INES FERREIRA DOS SANTOS;INES DIAS;12;APTO;2;DEFERIDO;PARTIDO ISOLADO;22;PR;PARTIDO DA REPÚBLICA;PARTIDO ISOLADO;1;BRASILEIRA NATA;38;4;FEMININO;6;ENSINO MÉDIO;3;CASADO(A);1;BRANCA;257;EMPRESÁRIO;5;SUPLENTE;N;21433.0;229;nao
ESTADUAL;DF;DISTRITO FEDERAL;8;DEPUTADO DISTRITAL;70000610803;GLAUCO DE SILVA E SILVA;PROFESSOR GLAUCO;12;APTO;2;DEFERIDO;PARTIDO ISOLADO;13;PT;PARTIDO DOS TRABALHADORES;PARTIDO ISOLADO;1;BRASILEIRA NATA;47;2;MASCULINO;8;SUPERIOR COMPLETO;1;SOLTEIRO(A);3;PARDA;266;PROFESSOR DE ENSINO MÉDIO;5;SUPLENTE;N;18796.45;562;nao
ESTADUAL;DF;DISTRITO FEDERAL;6;DEPUTADO FEDERAL;70000618970;JOSE RAIMUNDO LOPES DE SOUZA;JOSE LOPES;12;APTO;2;DEFERIDO;COLIGAÇÃO;20;PSC;PARTIDO SOCIAL CRISTÃO;UNIDOS PELO DF 1;1;BRASILEIRA NATA;56;2;MASCULINO;8;SUPERIOR COMPLETO;1;SOLTEIRO(A);3;PARDA;297;SERVIDOR PÚBLICO ESTADUAL;5;SUPLENTE;N;5000.0;2146;nao
ESTADUAL;DF;DISTRITO FEDERAL;8;DEPUTADO DISTRITAL;70000600724;TÁCIO ROGÉRIO ALLAN PONTES;TÁCIO ROGÉRIO DOS RODOVIÁRIOS;12;APTO;2;DEFERIDO;PARTIDO ISOLADO;70;AVANTE;AVANTE;PARTIDO ISOLADO;1;BRASILEIRA NATA;45;2;MASCULINO;6;ENSINO MÉDIO;3;CASADO(A);3;PARDA;531;MOTORISTA DE VEÍCULOS DE TRANSPORTE COLETIVO DE PASSAGEIROS;5;SUPLENTE;N;;647;nao
ESTADUAL;DF;DISTRITO FEDERAL;6;DEPUTADO FEDERAL;70000618964;AUGUSTO SILVEIRA DE CARVALHO;AUGUSTO CARVALHO;12;APTO;2;DEFERIDO;COLIGAÇÃO;77;SOLIDARIEDADE;SOLIDARIEDADE;UNIDOS PELO DF 1;1;BRASILEIRA NATA;65;2;MASCULINO;8;SUPERIOR COMPLETO;3;CASADO(A);1;BRANCA;277;DEPUTADO;5;SUPLENTE;S;984828.5700000001;24634;nao
ESTADUAL;DF;DISTRITO FEDERAL;8;DEPUTADO DISTRITAL;70000607611;JOÃO EDUARDO DE SOUZA;VIGILANTE SURICATA;12;APTO;2;DEFERIDO;COLIGAÇÃO;12;PDT;PARTIDO DEMOCRÁTICO TRABALHISTA;SUSTENTABILIDADE E TRABALHO;1;BRASILEIRA NATA;57;2;MASCULINO;5;ENSINO FUNDAMENTAL;1;SOLTEIRO(A);3;PARDA;254;VIGILANTE;5;SUPLENTE;N;252.0;113;nao
ESTADUAL;DF;DISTRITO FEDERAL;8;DEPUTADO DISTRITAL;70000608908;ANA PAULA GUEDES FRANCO;ANA PAULA GUEDES;12;APTO;2;DEFERIDO;COLIGAÇÃO;10;PRB;PARTIDO REPUBLICANO BRASILEIRO;COLIGAÇÃO UNIDOS PELO DF 3;1;BRASILEIRA NATA;46;4;FEMININO;8;SUPERIOR COMPLETO;9;SEPARADO;1;BRANCA;125;ADMINISTRADOR;5;SUPLENTE;N;124426.92999999998;445;nao
